number;rank;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
141;141;Uncommon;;Restauration d'Énergie;Energy Restore;Trainer;NoColor;;Hideyuki Nakajima;https://www.pokepedia.fr/images/9/9a/Carte_Expedition_141.png;https://images.pokemontcg.io/ecard1/141.png;ecard1
142;142;Uncommon;;Impulsion de Lula;Mary's Impulse;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/7/7a/Carte_Expedition_142.png;https://images.pokemontcg.io/ecard1/142.png;ecard1
143;143;Uncommon;;Master Ball;Master Ball;Trainer;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/e/eb/Carte_Expedition_143.png;https://images.pokemontcg.io/ecard1/143.png;ecard1
144;144;Uncommon;;Machine Multi-technique 01;Multi Technical Machine 01;Trainer;NoColor;;Big Mama Tagawa;https://www.pokepedia.fr/images/8/8a/Carte_Expedition_144.png;https://images.pokemontcg.io/ecard1/144.png;ecard1
145;145;Uncommon;;Infirmière Pokémon;Pokémon Nurse;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/3/3f/Carte_Expedition_145.png;https://images.pokemontcg.io/ecard1/145.png;ecard1
146;146;Uncommon;;Inversion de Pokémon;Pokémon Reversal;Trainer;NoColor;;;https://www.pokepedia.fr/images/0/05/Carte_Expedition_146.png;https://images.pokemontcg.io/ecard1/146.png;ecard1
147;147;Uncommon;;Charge d'Intensité;Power Charge;Trainer;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/6/65/Carte_Expedition_147.png;https://images.pokemontcg.io/ecard1/147.png;ecard1
148;148;Uncommon;;Méthode d'entraînement du Professeur Orme;Professor Elm's Training Method;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/e/e6/Carte_Expedition_148.png;https://images.pokemontcg.io/ecard1/148.png;ecard1
149;149;Uncommon;;Recherche du Professeur Chen;Professor Oak's Research;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/2/2d/Carte_Expedition_149.png;https://images.pokemontcg.io/ecard1/149.png;ecard1
150;150;Uncommon;;Fétiche de Force;Strength Charm;Trainer;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/0/04/Carte_Expedition_150.png;https://images.pokemontcg.io/ecard1/150.png;ecard1
151;151;Uncommon;;Super Rappel;Super Scoop Up;Trainer;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/4/4b/Carte_Expedition_151.png;https://images.pokemontcg.io/ecard1/151.png;ecard1
152;152;Uncommon;;Point de Distorsion;Warp Point;Trainer;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/9/9d/Carte_Expedition_152.png;https://images.pokemontcg.io/ecard1/152.png;ecard1
