rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
18;H18;Rare Holo;;Nidoking;Nidoking;Pokémon;Fighting;34;Naoyo Kimura;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209947.jpg;ecard2
19;H19;Rare Holo;;Feunard;Ninetales;Pokémon;Fire;38;Kagemaru Himeno;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209951.jpg;ecard2
20;H20;Rare Holo;;Octillery;Octillery;Pokémon;Water;224;Kouki Saitou;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209953.jpg;ecard2
21;H21;Rare Holo;;Cizayox;Scizor;Pokémon;Metal;212;Hisao Nakamura;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209975.jpg;ecard2
22;H22;Rare Holo;;Roigada;Slowking;Pokémon;Psychic;199;Aya Kusube;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209985.jpg;ecard2
23;H23;Rare Holo;;Steelix;Steelix;Pokémon;Metal;208;Hajime Kusajima;https://www.pokepedia.fr/images/c/cc/Carte_Aquapolis_H23.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209993.jpg;ecard2
24;H24;Rare Holo;;Simularbre;Sudowoodo;Pokémon;Fighting;185;Kagemaru Himeno;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209995.jpg;ecard2
25;H25;Rare Holo;;Suicune;Suicune;Pokémon;Water;245;Atsuko Nishida;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/209997.jpg;ecard2
26;H26;Rare Holo;;Tentacruel;Tentacruel;Pokémon;Water;73;Hajime Kusajima;https://www.pokepedia.fr/images/0/0d/Carte_Aquapolis_H26.png;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/210002.jpg;ecard2
27;H27;Rare Holo;;Togetic;Togetic;Pokémon;Colorless;176;Kagemaru Himeno;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/210006.jpg;ecard2
