rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
47;47;Rare;;Krabboss;Kingler;Pokémon;Water;99;Shigenori Negishi;https://www.pokepedia.fr/images/thumb/e/e7/Carte_Soleil_et_Lune_Alliance_Infaillible_47.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_47.png;https://images.pokemontcg.io/sm10/47_hires.png;sm10
48;48;Common;;Poissirène;Goldeen;Pokémon;Water;118;Naoyo Kimura;https://www.pokepedia.fr/images/thumb/8/8d/Carte_Soleil_et_Lune_Alliance_Infaillible_48.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_48.png;https://images.pokemontcg.io/sm10/48_hires.png;sm10
49;49;Rare;;Poissoroy;Seaking;Pokémon;Water;119;Midori Harada;https://www.pokepedia.fr/images/thumb/b/b0/Carte_Soleil_et_Lune_Alliance_Infaillible_49.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_49.png;https://images.pokemontcg.io/sm10/49_hires.png;sm10
50;50;Rare Holo;;Kyurem;Kyurem;Pokémon;Water;646;Anesaki Dynamic;https://www.pokepedia.fr/images/thumb/c/ca/Carte_Soleil_et_Lune_Alliance_Infaillible_50.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_50.png;https://images.pokemontcg.io/sm10/50_hires.png;sm10
51;51;Common;;Grenousse;Froakie;Pokémon;Water;656;Kyoko Umemoto;https://www.pokepedia.fr/images/thumb/8/8f/Carte_Soleil_et_Lune_Alliance_Infaillible_51.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_51.png;https://images.pokemontcg.io/sm10/51_hires.png;sm10
52;52;Uncommon;;Croâporal;Frogadier;Pokémon;Water;657;Satoshi Shirai;https://www.pokepedia.fr/images/thumb/b/b2/Carte_Soleil_et_Lune_Alliance_Infaillible_52.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_52.png;https://images.pokemontcg.io/sm10/52_hires.png;sm10
53;53;Uncommon;;Concombaffe;Pyukumuku;Pokémon;Water;771;Asako Ito;https://www.pokepedia.fr/images/thumb/8/8b/Carte_Soleil_et_Lune_Alliance_Infaillible_53.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_53.png;https://images.pokemontcg.io/sm10/53_hires.png;sm10
54;54;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;nagimiso;https://www.pokepedia.fr/images/thumb/9/9d/Carte_Soleil_et_Lune_Alliance_Infaillible_54.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_54.png;https://images.pokemontcg.io/sm10/54_hires.png;sm10
55;55;Rare;;Raichu;Raichu;Pokémon;Lightning;26;Shin Nagasawa;https://www.pokepedia.fr/images/thumb/6/6c/Carte_Soleil_et_Lune_Alliance_Infaillible_55.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_55.png;https://images.pokemontcg.io/sm10/55_hires.png;sm10
56;56;Rare;;Limonde;Stunfisk;Pokémon;Lightning;618;sowsow;https://www.pokepedia.fr/images/thumb/2/20/Carte_Soleil_et_Lune_Alliance_Infaillible_56.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_56.png;https://images.pokemontcg.io/sm10/56_hires.png;sm10
57;57;Ultra;GX;Dedenne-GX;Dedenne-GX;Pokémon;Lightning;702;PLANETA Igarashi;https://www.pokepedia.fr/images/thumb/b/b1/Carte_Soleil_et_Lune_Alliance_Infaillible_57.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_57.png;https://images.pokemontcg.io/sm10/57_hires.png;sm10
