rank;number;rarety_type;ultra_type;fr_name;en_name;serie;super_type;energy;pokedex_number;artist;jap_url;list
37;37;Rare Holo;;Pharamp;Ampharos;1;Pokémon;Lightning;181;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478654.jpg;ex9
38;38;Rare;;Elekid;Elekid;1;Pokémon;Lightning;239;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478655.jpg;ex9
39;39;Ultra;Star;Raikou Star;Raikou Star;1;Pokémon;Lightning;243;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1557060733/modifs/raikou.jpg;ex9
40;40;Common;;Ramoloss;Slowpoke;1;Pokémon;Psychic;79;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478657.jpg;ex9
41;41;Ultra;ex;Mentali ex;Espeon ex;1;Pokémon;Psychic;196;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478658.jpg;ex9
42;42;Rare Holo;;Roigada;Slowking;1;Pokémon;Psychic;199;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478659.jpg;ex9
43;43;Uncommon;;Zarbi A;Unown;1;Pokémon;Psychic;201;Shin-ichi Yoshikawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478554.jpg;ex9
44;44;Common;;Zarbi B;Unown;1;Pokémon;Psychic;201;Shin-ichi Yoshikawa;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/268c5ab0447e11e7a31bc11f09be2422/044.jpg;ex9
45;45;Uncommon;;Zarbi C;Unown;1;Pokémon;Psychic;201;Shin-ichi Yoshikawa;https://res.cloudinary.com/dkhwpritu/image/upload/v1587845897/modifs/zarbic.png;ex9
46;46;Uncommon;;Zarbi D;Unown;1;Pokémon;Psychic;201;Shin-ichi Yoshikawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478557.jpg;ex9
47;47;Uncommon;;Zarbi E;Unown;1;Pokémon;Psychic;201;Shin-ichi Yoshikawa;https://res.cloudinary.com/dkhwpritu/image/upload/v1587837979/modifs/Capture_d_e%CC%81cran_2020-04-25_a%CC%80_19.59.28.png;ex9
48;48;Common;;Zarbi F;Unown;1;Pokémon;Psychic;201;Shin-ichi Yoshikawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478559.jpg;ex9
49;49;Uncommon;;Zarbi G;Unown;1;Pokémon;Psychic;201;Shin-ichi Yoshikawa;https://res.cloudinary.com/dkhwpritu/image/upload/v1587836060/modifs/Capture_d_e%CC%81cran_2020-04-25_a%CC%80_19.32.23.png;ex9
