rank;rarety_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url
71;Uncommon;Kangourex d’Auguste;Blaine's Kangaskhan;カツラのガルーラ;Pokémon;Colorless;115;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073865.jpg
72;Common;Tauros d’Auguste;Blaine's Tauros;カツラのケンタロス;Pokémon;Colorless;128;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073866.jpg
73;Rare Holo;Métamorph de Koga;Koga's Ditto;キョウのメタモン;Pokémon;Colorless;132;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073799.jpg
74;Common;Porygon de Morgane;Sabrina's Porygon;ナツメのポリゴン;Pokémon;Colorless;137;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149256.jpg
75;Rare;Ronflex de Rocket;Rocket's Snorlax;R団のカビゴン;Pokémon;Colorless;143;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125499.jpg
76;Uncommon;Dernier Recours de d’Auguste;Blaine's Last Resort;カツラの奥の手;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168239.jpg
77;Uncommon;Sbire de la Team Rocket;Minion of Team Rocket;ロケット団員;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168440.jpg
78;Uncommon;Pouvoirs Psychiques de Morgane;Sabrina's ESP;ナツメのESP;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168507.jpg
79;Uncommon;Machine à Chatouilles;Tickling Machine;くすぐりマシーン;Trainer;NoColor;;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168553.jpg
80;Common;Pari d’Auguste;Blaine's Gamble;カツラのギャンブル;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110416.jpg
81;Common;Le Regard de Morgane;Sabrina's Gaze;ナツメの眼;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168514.jpg
82;Common;Échange de Déchets;Trash Exchange;トラッシュ交換;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168558.jpg
83;Rare Holo;Morgane;Sabrina;ナツメ;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073822.jpg
84;Rare;Auguste;Blaine;カツラ;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073820.jpg
85;Rare;Giovanni;Giovanni;サカキ;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073825.jpg
86;Rare;Dernier Recours de Giovanni;Giovanni's Last Resort;サカキの切り札;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168350.jpg
87;Rare;Koga;Koga;キョウ;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168379.jpg
88;Uncommon;Quiz d'Auguste #3;Blaine's Quiz #3;カツラのクイズ その3;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168253.jpg
89;Uncommon;Arène de Cramois'Île;Cinnabar City Gym;グレンタウンジム;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168303.jpg
90;Uncommon;Arène de Parmanie;Fuchsia City Gym;セキチクシティジム;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168345.jpg
91;Uncommon;Astuce ninja de Koga;Koga's Ninja Trick;キョウ秘伝, 変わり身の術;Trainer;NoColor;;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168398.jpg
92;Uncommon;Stade Champ de mines des Rocket;Rocket's Minefield Gym;ロケット団の爆発ジム;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168491.jpg
93;Uncommon;Expérience secrète des Rocket;Rocket's Secret Experiment;ロケット団の実験;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168493.jpg
94;Uncommon;Contrôle Psychique de Morgane;Sabrina's Psychic Control;ナツメのサイキックコントロール;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168535.jpg
95;Uncommon;Arène de Safrania;Saffron City Gym;ヤマブキシティジム;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168546.jpg
96;Uncommon;Arène de Jadielle;Viridian City Gym;トキワシティジム;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168561.jpg
97;Common;Murs transparents;Transparent Walls;見えない壁;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168556.jpg
98;Common;Point d'Échange;Warp Point;ワープポイント;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168563.jpg
