rank;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url
27;Rare;;Voltali de Major Bob;Lt. Surge's Jolteon;マチスのサンダース;Pokémon;Lightning;135;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073867.jpg
43;Common;;Sabelette de Pierre;Brock's Sandshrew;タケシサンド;Pokémon;Fighting;27;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168285.jpg
44;Rare;;Sablaireau de Pierre;Brock's Sandslash;タケシのサンドパン;Pokémon;Fighting;28;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168287.jpg
45;Common;;Taupiqueur de Pierre;Brock's Diglett;タケシのディグダ;Pokémon;Fighting;50;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168264.jpg
46;Common;;Férosinge de Pierre;Brock's Mankey;タケシのマンキー;Pokémon;Fighting;56;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168277.jpg
47;Uncommon;;Colossinge de Pierre;Brock's Primeape;タケシのオコリザル;Pokémon;Fighting;57;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168280.jpg
48;Common;;Racaillou de Pierre;Brock's Geodude;タケシのイシツブテ;Pokémon;Fighting;74;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168269.jpg
49;Common;;Racaillou de Pierre;Brock's Geodude;タケシのイシツブテ;Pokémon;Fighting;74;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168268.jpg
50;Uncommon;;Gravalanch de Pierre;Brock's Graveler;タケシのゴローン;Pokémon;Fighting;75;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168275.jpg
51;Rare;;Grolem de Pierre;Brock's Golem;タケシのゴローニャ;Pokémon;Fighting;76;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168272.jpg
52;Common;;Onix de Pierre;Brock's Onix;タケシのイワーク;Pokémon;Fighting;95;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1175678.jpg
53;Rare Holo;;Tygnon de Rocket;Rocket's Hitmonchan;R団のエビワラー;Pokémon;Fighting;107;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073837.jpg
54;Common;;Rhinocorne de Pierre;Brock's Rhyhorn;タケシのサイホーン;Pokémon;Fighting;111;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168283.jpg
55;Rare Holo;;Rhinoféros de Pierre;Brock's Rhydon;タケシのサイドン;Pokémon;Fighting;112;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073845.jpg
56;Common;;Rattata de Major Bob;Lt. Surge's Rattata;マチスのコラッタ;Pokémon;Colorless;19;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168429.jpg
57;Uncommon;;Rattatac de Major Bob;Lt. Surge's Raticate;マチスのラッタ;Pokémon;Colorless;20;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168426.jpg
58;Common;;Piafabec de Major Bob;Lt. Surge's Spearow;マチスのオニスズメ;Pokémon;Colorless;21;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168431.jpg
59;Rare Holo;;Rapasdepic de Major Bob;Lt. Surge's Fearow;マチスのオニドリル;Pokémon;Colorless;22;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093937.jpg
