rank;number;rarety_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
66;66;Rare;Papilusion;Butterfree;Pokémon;Grass;12;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167934.jpg;ecard1
67;67;Rare;Arbok;Arbok;Pokémon;Grass;24;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167929.jpg;ecard1
68;68;Rare;Rafflésia;Vileplume;Pokémon;Grass;45;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168049.jpg;ecard1
69;69;Rare;Smogogo;Weezing;Pokémon;Grass;110;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168054.jpg;ecard1
70;70;Rare;Méganium;Meganium;Pokémon;Grass;154;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168001.jpg;ecard1
71;71;Rare;Dracaufeu;Charizard;Pokémon;Fire;6;Hiromichi Sugiyama;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/0c2c5b90d74f11e5981e6906395e81b0/71.jpg;ecard1
72;72;Rare;Feunard;Ninetales;Pokémon;Fire;38;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168009.jpg;ecard1
73;73;Rare;Galopa;Rapidash;Pokémon;Fire;78;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168033.jpg;ecard1
74;74;Rare;Typhlosion;Typhlosion;Pokémon;Fire;157;K.  Hoshiba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168043.jpg;ecard1
75;75;Rare;Magby;Magby;Pokémon;Fire;240;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167993.jpg;ecard1
76;76;Rare;Tortank;Blastoise;Pokémon;Water;9;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167932.jpg;ecard1
77;77;Rare;Tartard;Poliwrath;Pokémon;Water;62;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168023.jpg;ecard1
78;78;Rare;Crustabri;Cloyster;Pokémon;Water;91;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167942.jpg;ecard1
