rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
104;104;Common;;Skitty;Skitty;Pokémon;Colorless;300;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_104.png;https://images.pokemontcg.io/xy1/104.png;xy1
105;105;Uncommon;;Delcatty;Delcatty;Pokémon;Colorless;301;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_105.png;https://images.pokemontcg.io/xy1/105.png;xy1
106;106;Common;;Keunotor;Bidoof;Pokémon;Colorless;399;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_106.png;https://images.pokemontcg.io/xy1/106.png;xy1
107;107;Rare;;Castorno;Bibarel;Pokémon;Colorless;400;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_107.png;https://images.pokemontcg.io/xy1/107.png;xy1
108;108;Common;;Ponchiot;Lillipup;Pokémon;Colorless;506;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_108.png;https://images.pokemontcg.io/xy1/108.png;xy1
109;109;Uncommon;;Ponchien;Herdier;Pokémon;Colorless;507;Tomokazu Komiya;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_109.png;https://images.pokemontcg.io/xy1/109.png;xy1
110;110;Rare;;Mastouffe;Stoutland;Pokémon;Colorless;508;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_110.png;https://images.pokemontcg.io/xy1/110.png;xy1
111;111;Common;;Sapereau;Bunnelby;Pokémon;Colorless;659;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_111.png;https://images.pokemontcg.io/xy1/111.png;xy1
112;112;Uncommon;;Excavarenne;Diggersby;Pokémon;Colorless;660;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_112.png;https://images.pokemontcg.io/xy1/112.png;xy1
113;113;Common;;Passerouge;Fletchling;Pokémon;Colorless;661;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_113.png;https://images.pokemontcg.io/xy1/113.png;xy1
114;114;Rare Holo;;Couafarel;Furfrou;Pokémon;Colorless;676;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_114.png;https://images.pokemontcg.io/xy1/114.png;xy1
115;115;Uncommon;;Olivier;Cassius;Trainer;NoColor;;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_115.png;https://images.pokemontcg.io/xy1/115.png;xy1
116;116;Uncommon;;Évolusoda;Evosoda;Trainer;NoColor;;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_116.png;https://images.pokemontcg.io/xy1/116.png;xy1
117;117;Uncommon;;Jardin des Fées;Fairy Garden;Trainer;NoColor;;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_117.png;https://images.pokemontcg.io/xy1/117.png;xy1
118;118;Uncommon;;Super Ball;Great Ball;Trainer;NoColor;;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_118.png;https://images.pokemontcg.io/xy1/118.png;xy1
119;119;Uncommon;;Grigri Protecteur;Hard Charm;Trainer;NoColor;;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_119.png;https://images.pokemontcg.io/xy1/119.png;xy1
120;120;Uncommon;;Rappel Max;Max Revive;Trainer;NoColor;;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_120.png;https://images.pokemontcg.io/xy1/120.png;xy1
121;121;Uncommon;;Bandeau Muscle;Muscle Band;Trainer;NoColor;;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_121.png;https://images.pokemontcg.io/xy1/121.png;xy1
122;122;Uncommon;;Professeur Platane;Professor Sycamore;Trainer;NoColor;;Yusuke Ohmura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_122.png;https://images.pokemontcg.io/xy1/122.png;xy1
123;123;Uncommon;;Lettre du Professeur;Professor's Letter;Trainer;NoColor;;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_123.png;https://images.pokemontcg.io/xy1/123.png;xy1
