rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
20;;Common;;Salamèche;Charmander;ヒトカゲ;Pokémon;Fire;4;Masakazu Fukuda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10569.JPG;dp3
21;;Uncommon;;Reptincel;Charmeleon;リザード;Pokémon;Fire;5;Atsuko Nishida;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10570.JPG;dp3
22;;Rare Holo;;Dracaufeu;Charizard;リザードン;Pokémon;Fire;6;Daisuke Ito;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10571.JPG;dp3
23;;Common;;Caninos;Growlithe;ガーディ;Pokémon;Fire;58;Kagemaru Himeno;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10572.JPG;dp3
24;;Rare;;Arcanin;Arcanine;ウインディ;Pokémon;Fire;59;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10573.JPG;dp3
25;;Rare Holo;;Entei;Entei;エンテイ;Pokémon;Fire;244;Ryo Ueda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10574.JPG;dp3
26;;Rare Holo;;Ho-Oh;Ho-Oh;ホウオウ;Pokémon;Fire;250;Kazuyuki Kano;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10575.JPG;dp3
27;;Common;;Carapuce;Squirtle;ゼニガメ;Pokémon;Water;7;Kagemaru Himeno;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10576.JPG;dp3
28;;Uncommon;;Carabaffe;Wartortle;カメール;Pokémon;Water;8;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10577.JPG;dp3
29;;Rare Holo;;Tortank;Blastoise;カメックス;Pokémon;Water;9;Daisuke Ito;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10578.JPG;dp3
30;;Common;;Psykokwak;Psyduck;コダック;Pokémon;Water;54;Kagemaru Himeno;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10579.JPG;dp3
31;;Rare;;Akwakwak;Golduck;ゴルダック;Pokémon;Water;55;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10580.JPG;dp3
32;;Common;;Kokiyas;Shellder;シェルダー;Pokémon;Water;90;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10581.JPG;dp3
33;;Uncommon;;Crustabri;Cloyster;パルシェン;Pokémon;Water;91;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10582.JPG;dp3
34;;Common;;Axoloto;Wooper;ウパー;Pokémon;Water;194;Masakazu Fukuda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10584.JPG;dp3
35;;Uncommon;;Maraiste;Quagsire;ヌオー;Pokémon;Water;195;Sumiyoshi Kizuki;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10585.JPG;dp3
36;;Common;;Qwilfish;Qwilfish;ハリーセン;Pokémon;Water;211;Kenkichi Toyama;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10583.JPG;dp3
37;;Common;;Corayon;Corsola;サニーゴ;Pokémon;Water;222;Midori Harada;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10586.JPG;dp3
38;;Rare Holo;;Suicune;Suicune;スイクン;Pokémon;Water;245;Ryo Ueda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10587.JPG;dp3
39;;Common;;Nenupiot;Lotad;ハスボー;Pokémon;Water;270;Saya Tsuruta;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10588.JPG;dp3
40;;Uncommon;;Lombre;Lombre;ハスブレロ;Pokémon;Water;271;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10589.JPG;dp3
41;;Rare Holo;;Ludicolo;Ludicolo;ルンパッパ;Pokémon;Water;272;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463563.jpg;dp3
42;;Common;;Sancoki Mer Orient;Shellos East Sea;カラナクシ;Pokémon;Water;422;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10590.JPG;dp3
43;;Common;;Sancoki Mer Occident;Shellos West Sea;カラナクシ;Pokémon;Water;422;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10591.JPG;dp3
44;;Rare Holo;;Tritosor Mer Orient;Gastrodon East Sea;トリトドン;Pokémon;Water;423;Kazuyuki Kano;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1468019.jpg;dp3
45;;Ultra;Niv.X;Palkia Nv.X;Palkia LV.X;パルキア;Pokémon;Water;484;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1468021.jpg;dp3
46;;Common;;Voltorbe;Voltorb;ビリリダマ;Pokémon;Lightning;100;Satoshi Ohta;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10593.JPG;dp3
47;;Rare;;Électrode;Electrode;マルマイン;Pokémon;Lightning;101;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463575.jpg;dp3
48;;Common;;Wattouat;Mareep;メリープ;Pokémon;Lightning;179;Atsuko Nishida;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10594.JPG;dp3
49;;Uncommon;;Lainergie;Flaaffy;モココ;Pokémon;Lightning;180;Kagemaru Himeno;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10595.JPG;dp3
50;;Rare Holo;;Pharamp;Ampharos;デンリュウ;Pokémon;Lightning;181;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10596.JPG;dp3
51;;Rare Holo;;Raikou;Raikou;ライコウ;Pokémon;Lightning;243;Ryo Ueda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10597.JPG;dp3
52;;Rare;;Posipi;Plusle;プラスル;Pokémon;Lightning;311;Masakazu Fukuda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10598.JPG;dp3
53;;Rare;;Negapi;Minun;マイナン;Pokémon;Lightning;312;Masakazu Fukuda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10599.JPG;dp3
54;;Common;;Nidoran M;Nidoran♂;ニドラン♂;Pokémon;Psychic;32;Mitsuhiro Arita;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10600.JPG;dp3
55;;Uncommon;;Nidorino;Nidorino;ニドリーノ;Pokémon;Psychic;33;Naoyo Kimura;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10601.JPG;dp3
56;;Rare;;Nidoking;Nidoking;ニドキング;Pokémon;Psychic;34;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10602.JPG;dp3
57;;Common;;Tadmorv;Grimer;ベトベター;Pokémon;Psychic;88;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10603.JPG;dp3
